"","species","age","scenario","Total"
"1","alnuglut",0,"Test15",2433
"2","alnuglut",0,"Test16",2433
"3","alnuglut",50,"Test15",7988
"4","alnuglut",50,"Test16",7914
"5","alnuglut",100,"Test15",12332
"6","alnuglut",100,"Test16",12112
"7","alnuglut",150,"Test15",14848
"8","alnuglut",150,"Test16",14778
"9","alnuglut",200,"Test15",15934
"10","alnuglut",200,"Test16",15847
"11","alnuglut",250,"Test15",14619
"12","alnuglut",250,"Test16",14439
"13","alnuglut",300,"Test15",14635
"14","alnuglut",300,"Test16",14503
"15","alnuglut",350,"Test15",15635
"16","alnuglut",350,"Test16",15334
"17","alnuglut",400,"Test15",16518
"18","alnuglut",400,"Test16",16326
"19","alnuglut",450,"Test15",16223
"20","alnuglut",450,"Test16",16174
"21","alnuglut",500,"Test15",15210
"22","alnuglut",500,"Test16",15380
"23","alnuglut",550,"Test15",15122
"24","alnuglut",550,"Test16",15173
"25","alnuglut",600,"Test15",15640
"26","alnuglut",600,"Test16",15483
"27","alnuglut",650,"Test15",15783
"28","alnuglut",650,"Test16",15652
"29","alnuglut",700,"Test15",15474
"30","alnuglut",700,"Test16",15184
"31","alnuglut",750,"Test15",15316
"32","alnuglut",750,"Test16",14902
"33","alnuglut",800,"Test15",15396
"34","alnuglut",800,"Test16",15041
"35","alnuglut",850,"Test15",15766
"36","alnuglut",850,"Test16",15150
"37","alnuglut",900,"Test15",15872
"38","alnuglut",900,"Test16",15289
"39","alnuglut",950,"Test15",15669
"40","alnuglut",950,"Test16",15244
"41","alnuglut",1000,"Test15",15650
"42","alnuglut",1000,"Test16",15212
"43","alnuglut",1050,"Test15",15637
"44","alnuglut",1050,"Test16",15318
"45","alnuglut",1100,"Test15",15725
"46","alnuglut",1100,"Test16",15398
"47","alnuglut",1150,"Test15",15822
"48","alnuglut",1150,"Test16",15529
"49","alnuglut",1200,"Test15",15751
"50","alnuglut",1200,"Test16",15601
"51","alnuglut",1250,"Test15",15848
"52","alnuglut",1250,"Test16",15509
"53","alnuglut",1300,"Test15",15879
"54","alnuglut",1300,"Test16",15642
"55","alnuglut",1350,"Test15",16025
"56","alnuglut",1350,"Test16",15768
"57","alnuglut",1400,"Test15",16094
"58","alnuglut",1400,"Test16",15876
"59","alnuglut",1450,"Test15",16055
"60","alnuglut",1450,"Test16",15943
"61","alnuglut",1500,"Test15",16036
"62","alnuglut",1500,"Test16",15988
"63","alnuglut",1550,"Test15",16003
"64","alnuglut",1550,"Test16",16039
"65","alnuglut",1600,"Test15",16253
"66","alnuglut",1600,"Test16",16208
"67","alnuglut",1650,"Test15",16259
"68","alnuglut",1650,"Test16",16252
"69","alnuglut",1700,"Test15",16247
"70","alnuglut",1700,"Test16",16251
"71","alnuglut",1750,"Test15",16215
"72","alnuglut",1750,"Test16",16285
"73","alnuglut",1800,"Test15",16296
"74","alnuglut",1800,"Test16",16394
"75","alnuglut",1850,"Test15",16298
"76","alnuglut",1850,"Test16",16492
"77","alnuglut",1900,"Test15",16305
"78","alnuglut",1900,"Test16",16551
"79","alnuglut",1950,"Test15",16300
"80","alnuglut",1950,"Test16",16545
"81","alnuglut",2000,"Test15",16241
"82","alnuglut",2000,"Test16",16611
"83","alnuglut",2050,"Test15",16325
"84","alnuglut",2050,"Test16",16602
"85","alnuglut",2100,"Test15",16401
"86","alnuglut",2100,"Test16",16645
"87","alnuglut",2150,"Test15",16350
"88","alnuglut",2150,"Test16",16660
"89","alnuglut",2200,"Test15",16507
"90","alnuglut",2200,"Test16",16680
"91","alnuglut",2250,"Test15",16355
"92","alnuglut",2250,"Test16",16779
"93","alnuglut",2300,"Test15",16417
"94","alnuglut",2300,"Test16",16773
"95","alnuglut",2350,"Test15",16498
"96","alnuglut",2350,"Test16",16836
"97","alnuglut",2400,"Test15",16359
"98","alnuglut",2400,"Test16",16819
"99","alnuglut",2450,"Test15",16455
"100","alnuglut",2450,"Test16",16838
"101","alnuglut",2500,"Test15",16480
"102","alnuglut",2500,"Test16",16875
"103","alnuglut",2550,"Test15",16496
"104","alnuglut",2550,"Test16",16879
"105","alnuglut",2600,"Test15",16486
"106","alnuglut",2600,"Test16",16838
"107","alnuglut",2650,"Test15",16601
"108","alnuglut",2650,"Test16",16837
"109","alnuglut",2700,"Test15",16620
"110","alnuglut",2700,"Test16",16756
"111","alnuglut",2750,"Test15",16600
"112","alnuglut",2750,"Test16",16771
"113","alnuglut",2800,"Test15",16619
"114","alnuglut",2800,"Test16",16781
"115","alnuglut",2850,"Test15",16616
"116","alnuglut",2850,"Test16",16793
"117","alnuglut",2900,"Test15",16646
"118","alnuglut",2900,"Test16",16810
"119","alnuglut",2950,"Test15",16650
"120","alnuglut",2950,"Test16",16821
"121","alnuglut",3000,"Test15",16643
"122","alnuglut",3000,"Test16",16805
"123","betusppp",0,"Test15",6421
"124","betusppp",0,"Test16",6421
"125","betusppp",50,"Test15",12217
"126","betusppp",50,"Test16",12209
"127","betusppp",100,"Test15",15080
"128","betusppp",100,"Test16",15003
"129","betusppp",150,"Test15",8721
"130","betusppp",150,"Test16",8759
"131","betusppp",200,"Test15",6832
"132","betusppp",200,"Test16",6893
"133","betusppp",250,"Test15",6821
"134","betusppp",250,"Test16",7022
"135","betusppp",300,"Test15",8730
"136","betusppp",300,"Test16",8715
"137","betusppp",350,"Test15",9692
"138","betusppp",350,"Test16",9814
"139","betusppp",400,"Test15",9471
"140","betusppp",400,"Test16",9512
"141","betusppp",450,"Test15",8396
"142","betusppp",450,"Test16",8523
"143","betusppp",500,"Test15",7509
"144","betusppp",500,"Test16",7647
"145","betusppp",550,"Test15",6652
"146","betusppp",550,"Test16",6750
"147","betusppp",600,"Test15",6277
"148","betusppp",600,"Test16",6379
"149","betusppp",650,"Test15",6533
"150","betusppp",650,"Test16",6433
"151","betusppp",700,"Test15",6811
"152","betusppp",700,"Test16",6805
"153","betusppp",750,"Test15",6897
"154","betusppp",750,"Test16",6929
"155","betusppp",800,"Test15",6753
"156","betusppp",800,"Test16",6911
"157","betusppp",850,"Test15",6507
"158","betusppp",850,"Test16",6548
"159","betusppp",900,"Test15",6228
"160","betusppp",900,"Test16",6158
"161","betusppp",950,"Test15",5850
"162","betusppp",950,"Test16",5854
"163","betusppp",1000,"Test15",5736
"164","betusppp",1000,"Test16",5641
"165","betusppp",1050,"Test15",5824
"166","betusppp",1050,"Test16",5793
"167","betusppp",1100,"Test15",5959
"168","betusppp",1100,"Test16",5922
"169","betusppp",1150,"Test15",5968
"170","betusppp",1150,"Test16",6022
"171","betusppp",1200,"Test15",5923
"172","betusppp",1200,"Test16",5898
"173","betusppp",1250,"Test15",5807
"174","betusppp",1250,"Test16",5639
"175","betusppp",1300,"Test15",5578
"176","betusppp",1300,"Test16",5456
"177","betusppp",1350,"Test15",5342
"178","betusppp",1350,"Test16",5258
"179","betusppp",1400,"Test15",5224
"180","betusppp",1400,"Test16",5053
"181","betusppp",1450,"Test15",5229
"182","betusppp",1450,"Test16",4993
"183","betusppp",1500,"Test15",5367
"184","betusppp",1500,"Test16",5036
"185","betusppp",1550,"Test15",5373
"186","betusppp",1550,"Test16",5017
"187","betusppp",1600,"Test15",5413
"188","betusppp",1600,"Test16",5076
"189","betusppp",1650,"Test15",5252
"190","betusppp",1650,"Test16",4825
"191","betusppp",1700,"Test15",5067
"192","betusppp",1700,"Test16",4678
"193","betusppp",1750,"Test15",4910
"194","betusppp",1750,"Test16",4604
"195","betusppp",1800,"Test15",4823
"196","betusppp",1800,"Test16",4604
"197","betusppp",1850,"Test15",4863
"198","betusppp",1850,"Test16",4507
"199","betusppp",1900,"Test15",4845
"200","betusppp",1900,"Test16",4599
"201","betusppp",1950,"Test15",4847
"202","betusppp",1950,"Test16",4611
"203","betusppp",2000,"Test15",4801
"204","betusppp",2000,"Test16",4626
"205","betusppp",2050,"Test15",4736
"206","betusppp",2050,"Test16",4617
"207","betusppp",2100,"Test15",4673
"208","betusppp",2100,"Test16",4498
"209","betusppp",2150,"Test15",4622
"210","betusppp",2150,"Test16",4330
"211","betusppp",2200,"Test15",4631
"212","betusppp",2200,"Test16",4219
"213","betusppp",2250,"Test15",4593
"214","betusppp",2250,"Test16",4129
"215","betusppp",2300,"Test15",4537
"216","betusppp",2300,"Test16",4149
"217","betusppp",2350,"Test15",4523
"218","betusppp",2350,"Test16",4143
"219","betusppp",2400,"Test15",4547
"220","betusppp",2400,"Test16",4070
"221","betusppp",2450,"Test15",4511
"222","betusppp",2450,"Test16",4081
"223","betusppp",2500,"Test15",4445
"224","betusppp",2500,"Test16",3975
"225","betusppp",2550,"Test15",4377
"226","betusppp",2550,"Test16",3948
